품목코드,품목명,단위
337777,냉동구운마늘 하프컷 프레시리더스,개
316518,이지쿡 다용도 수입콩두부 풀무원,개
321617,BF 식물성 베러 패티,봉
239830,모짜치즈볼 동우씨엔에프,박스
335279,순쌀도나스 군고구마 해성푸드원,개
341733,통살새우볼 동림수산,개
260988,어묵채 정통삼호부산어묵 CJ씨푸드,봉
324865,브랜드 바닐라 아이스 동그린,박스
336087,칠리콘카르네 에쓰푸드,개
318774,NBB 치킨너겟1KG 타이슨푸드코리아,봉
320526,NBB 크리스피 치킨런 푸드랠라,박스
333402,NBB 통통살치킨텐더 타이슨푸드,봉
245269,SF 크리스피 치킨봉 사세,팩
245268,SF 크리스피 치킨윙 사세,팩
337464,SF치킨패티 100 타이슨푸드코리아,박스
311929,밸류치킨패티 푸드랠라,봉
339760,NBB미트패티(2.0) 음성공장,봉
339855,NBB소형미트패티 음성공장,봉
246679,DC 해쉬브라운 냉동감자 심플로트,팩
338967,NBB 냉동감자 스킨오프 레귤러컷 SIMPLOT,박스
332213,NBB 치즈스틱 조흥,개
310491,브래디드어니언링 맥케인,봉
321427,새우패티 갈란다찬,박스
27805,테이스터볼 냉동감자 SIMPLOT,팩
254328,핑거포크 리뉴얼 하늘푸드,봉
340610,후레쉬 베이컨 에쓰푸드,팩
320067,계란패티 삼진,팩
85862,그라나파다노그레이트,팩
248249,버거 슬라이스치즈 매일유업,팩
250725,N)갈릭샤워크림소스 원일식품,팩
321836,NBB 매콤로제소스S 동원홈푸드,개
339163,NBB뉴머스타드마요소스 음성공장,팩
220067,NBB버거소스 음성공장,팩
220064,불고기버거소스 음성공장,팩
320897,브랜드 스윗마라소스 원일식품,박스
220066,블랙페퍼데미소스 음성공장,팩
323378,비스큐소스 시아스,팩
195604,쉐프초이스 화이트머쉬룸소스V,팩
262853,슈가버터소스S 한미에프쓰리,개
319718,스위트칠리소스 오뚜기,박스
319720,시저드레싱 오뚜기,박스
319719,이탈리안드레싱 오뚜기,박스
311758,치폴레마요소스 한미에프쓰리,개
175823,토마토피자소스 대상,팩
232926,허니스모키 머스터드소스 음성공장,팩
333423,NBB 데리야끼치킨 에쓰푸드,팩
326598,NBB 양상추 슬라이스 국내산 냉장,박스
311351,NBB 적채슬라이스 국내산 냉장,팩
3,양배추 무침용 국내산 냉장,kg
339896,깐양파 중국 냉장,봉
322620,누테이블 에그샐러드,팩
315702,르쎄떼 크래프트 커피,개
160273,볶음콩가루 뚜레반,봉
243995,블랙올리브 슬라이스 리치스,팩
183316,백설탕 CJ제일제당,봉
12022,리치스슈가시럽 리치스,개
238271,미닛메이드 오렌지주스 페트 코카콜라,박스
8953,탄산시럽 칠성사이다 롯데칠성,개
341679,탄산시럽 칠성사이다 제로 롯데칠성,개
105506,탄산시럽 탐스제로 파인애플 롯데칠성,개
241501,탄산시럽 펩시 제로슈거 라임향 롯데칠성,개
8956,탄산시럽 펩시콜라 롯데칠성,개
17275,천일염 구운소금 태평소금,봉
310773,브랜드케첩 롯데제과,박스
179467,토마토케찹 스파우트팩 오뚜기,개
9030,허니머스타드 오뚜기,박스
13909,캐모마일삼각티백 다질리언,팩
13916,페퍼민트삼각티백 다질리언,팩
117352,완숙토마토 NBB 국내산 실온,박스
326209,튀긴마늘 슬라이스 이엔푸드,개
310489,딜 오이피클 한미에프쓰리,개
252118,할라피뇨캔 GANDULES,개
339512,노브랜드 버거번 2.0 SPC삼립,개
341786,노브랜드버거번N 천안공장,개
209307,미닛메이드오렌지50주황 페트 코카콜라,개
261016,르쎄떼 제주 청귤 라임 베이스 스위트컵,개
261015,르쎄떼 제주 한라봉 패션후르츠 베이스 스위트컵,개
243935,아이시스 무라벨 페트 롯데칠성,박스
251760,브랜드 사이다 제로 일화,개
247218,브랜드 사이다 캔 일화,개
251759,브랜드 콜라 제로 일화,개
247217,브랜드 콜라 캔 일화,개
253465,N 전용유 사조해표,개
326035,파슬리후레이크 두비산업,개
320649,제이슨티 녹차삼각티백 티코리아,개
320644,제이슨티 얼그레이삼각티백 티코리아,개
232012,대추방울토마토 NBB 국내산 실온(25℃ 이하),kg
339536,바질마요소스 동원홈푸드,개
